month,hr,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
1,0,182,0.1267605633802817,0.2,0.93,0.10619469026548672,3.0,0.0,1.0,3.0
1,1,138,0.1267605633802817,0.2125,0.93,0.08849557522123894,1.0,0.0,1.0,3.0
1,2,134,0.11267605633802817,0.2125,0.965,0.0,1.0,0.0,1.0,3.0
1,3,72,0.09859154929577464,0.2,1.0,0.0,1.0,0.0,1.0,3.0
1,4,47,0.09859154929577464,0.15,0.93,0.11504424778761062,1.0,0.0,1.0,3.0
1,5,46,0.09859154929577464,0.2,0.93,0.07079646017699115,1.0,0.0,1.0,3.0
1,6,51,0.07042253521126761,0.125,1.0,0.12389380530973451,4.0,0.0,1.0,3.0
1,7,75,0.07042253521126761,0.125,1.0,0.12389380530973451,4.0,0.0,1.0,3.0
1,8,131,0.08450704225352113,0.125,0.965,0.1415929203539823,4.0,0.0,1.0,3.0
1,9,301,0.09859154929577464,0.1375,1.0,0.1592920353982301,3.0,0.0,1.0,3.0
1,10,528,0.1267605633802817,0.1375,0.93,0.21238938053097345,3.0,0.0,1.0,3.0
1,11,727,0.09859154929577464,0.1125,1.0,0.21238938053097345,3.0,0.0,1.0,3.0
1,12,862,0.09859154929577464,0.1125,0.965,0.23008849557522124,4.0,0.0,1.0,3.0
1,13,916,0.1267605633802817,0.1375,0.87,0.26548672566371684,3.0,0.0,1.0,3.0
1,14,1039,0.11267605633802817,0.15,0.9,0.1415929203539823,3.0,0.0,1.0,3.0
1,15,869,0.09859154929577464,0.1125,0.93,0.19469026548672566,3.0,0.0,1.0,3.0
1,16,737,0.1267605633802817,0.15,0.93,0.21238938053097345,3.0,0.0,1.0,3.0
1,17,594,0.1267605633802817,0.15,0.93,0.19469026548672566,3.0,0.0,1.0,3.0
1,18,522,0.1267605633802817,0.1875,0.93,0.11504424778761062,3.0,0.0,1.0,3.0
1,19,379,0.1267605633802817,0.175,0.93,0.12389380530973451,3.0,0.0,1.0,3.0
1,20,328,0.1267605633802817,0.225,0.93,0.07079646017699115,3.0,0.0,1.0,3.0
1,21,221,0.1267605633802817,0.2125,0.93,0.08849557522123894,4.0,0.0,1.0,3.0
