year,month,hr,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
2015,1,0,1,0.1267605633802817,0.2,0.93,0.10619469026548672,3.0,0.0,1.0,3.0
2015,1,1,1,0.1267605633802817,0.2125,0.93,0.08849557522123894,1.0,0.0,1.0,3.0
2015,1,2,1,0.11267605633802817,0.2125,0.965,0.0,1.0,0.0,1.0,3.0
2015,1,3,1,0.09859154929577464,0.2,1.0,0.0,1.0,0.0,1.0,3.0
2015,1,4,1,0.09859154929577464,0.15,0.93,0.11504424778761062,1.0,0.0,1.0,3.0
2015,1,5,1,0.09859154929577464,0.2,0.93,0.07079646017699115,1.0,0.0,1.0,3.0
2015,1,6,1,0.07042253521126761,0.125,1.0,0.12389380530973451,4.0,0.0,1.0,3.0
2015,1,7,1,0.07042253521126761,0.125,1.0,0.12389380530973451,4.0,0.0,1.0,3.0
2015,1,8,1,0.08450704225352113,0.125,0.965,0.1415929203539823,4.0,0.0,1.0,3.0
2015,1,9,1,0.09859154929577464,0.1375,1.0,0.1592920353982301,3.0,0.0,1.0,3.0
2015,1,10,2,0.1267605633802817,0.1375,0.93,0.21238938053097345,3.0,0.0,1.0,3.0
2015,1,11,2,0.09859154929577464,0.1125,1.0,0.21238938053097345,3.0,0.0,1.0,3.0
2015,1,12,2,0.09859154929577464,0.1125,0.965,0.23008849557522124,4.0,0.0,1.0,3.0
2015,1,13,2,0.1267605633802817,0.1375,0.87,0.26548672566371684,3.0,0.0,1.0,3.0
2015,1,14,3,0.11267605633802817,0.15,0.9,0.1415929203539823,3.0,0.0,1.0,3.0
2015,1,15,2,0.09859154929577464,0.1125,0.93,0.19469026548672566,3.0,0.0,1.0,3.0
2015,1,16,2,0.1267605633802817,0.15,0.93,0.21238938053097345,3.0,0.0,1.0,3.0
2015,1,17,2,0.1267605633802817,0.15,0.93,0.19469026548672566,3.0,0.0,1.0,3.0
2015,1,18,2,0.1267605633802817,0.1875,0.93,0.11504424778761062,3.0,0.0,1.0,3.0
2015,1,19,1,0.1267605633802817,0.175,0.93,0.12389380530973451,3.0,0.0,1.0,3.0
2015,1,20,1,0.1267605633802817,0.225,0.93,0.07079646017699115,3.0,0.0,1.0,3.0
2015,1,21,1,0.1267605633802817,0.2125,0.93,0.08849557522123894,4.0,0.0,1.0,3.0
2015,1,22,1,0.1267605633802817,0.2,0.93,0.10619469026548672,4.0,0.0,1.0,3.0
2015,1,23,1,0.15492957746478872,0.2375,0.87,0.08849557522123894,4.0,0.0,1.0,3.0
2015,1,0,1,0.15492957746478872,0.225,0.93,0.10619469026548672,4.0,0.0,0.0,3.0
2015,1,1,1,0.15492957746478872,0.2375,0.93,0.08849557522123894,4.0,0.0,0.0,3.0
2015,1,2,1,0.18309859154929578,0.25,0.87,0.10619469026548672,4.0,0.0,0.0,3.0
2015,1,3,1,0.2112676056338028,0.2625,0.84,0.13274336283185842,4.0,0.0,0.0,3.0
2015,1,4,1,0.22535211267605634,0.275,0.84,0.1415929203539823,4.0,0.0,0.0,3.0
2015,1,5,1,0.2112676056338028,0.2875,0.87,0.08849557522123894,4.0,0.0,0.0,3.0
2015,1,6,1,0.23943661971830985,0.3125,0.81,0.08849557522123894,3.0,0.0,0.0,3.0
2015,1,7,4,0.23943661971830985,0.3,0.81,0.11504424778761062,3.0,0.0,0.0,3.0
2015,1,8,7,0.2676056338028169,0.3375,0.79,0.08849557522123894,3.0,0.0,0.0,3.0
